Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),AQI
2023-05-01,19.369545454545456,36.501931818181816,2.1169791666666664,17.937604166666667,20.357604166666665,27.69322916666667,16.468333333333334,0.4584375,17.060624999999998,0.10875,0.0,0.0,0.0,0.1822916666666666,0.07375,26.17760416666667,71.71729166666667,0.7204166666666666,120.85041666666666,0.0820833333333333,0.0820833333333333,93.99302083333332,743.86,0.0,53.0
2023-05-02,20.539347826086956,31.29728260869565,1.8892708333333337,18.82375,20.870625,26.885208333333335,16.90458333333333,0.4582291666666667,18.089375,0.1092708333333333,0.0,0.0,0.0,0.183125,0.07375,26.39375,71.77583333333334,0.5533333333333333,128.4439583333333,0.0744791666666666,0.0744791666666666,115.98760416666666,744.8166666666666,0.0,47.0
2023-05-03,20.20625,37.14909090909091,1.7553124999999998,18.6625,20.514166666666664,25.0378125,16.964583333333334,0.4790624999999999,19.17322916666667,0.1139583333333333,0.0,0.0,0.0,0.1916666666666666,0.0775,26.516562500000003,73.4609375,0.6169791666666666,147.975625,0.1164583333333333,0.1164583333333333,95.11666666666667,745.5170833333333,0.0,52.0
2023-05-04,18.622738095238095,32.81214285714286,1.8485416666666667,19.472916666666663,21.42895833333333,26.226666666666663,16.795104166666665,0.504375,16.951354166666665,0.11875,0.0,0.0,0.0,0.1994791666666666,0.0803125,26.86916666666667,72.29375,0.4957638888888889,146.870625,0.0101041666666666,0.0101041666666666,126.64427083333334,745.3494791666667,0.0,48.0
2023-05-05,31.897604166666667,63.149166666666666,1.8659375,25.9628125,27.674479166666668,25.659270833333338,19.34541666666667,0.6862499999999999,16.281041666666667,0.1640625,0.0,0.0,0.0,0.2735416666666667,0.1095833333333333,29.086041666666663,59.9653125,0.4690625,183.50375,0.0062499999999999,0.0062499999999999,130.9859375,744.0101041666667,0.0,52.0
2023-05-06,41.37197916666667,86.24260416666668,1.688229166666667,27.69541666666667,29.070104166666667,25.331666666666667,21.0128125,0.6847916666666666,19.784166666666668,0.164375,0.0,0.0,0.0,0.2733333333333334,0.1097916666666666,30.8809375,52.74697916666667,0.5835763888888889,187.25204861111112,0.0,0.0,121.93052083333332,742.4952083333333,0.0,86.0
2023-05-07,46.6753125,121.93520833333334,1.6033333333333333,29.737916666666667,30.8334375,25.358541666666667,21.123125,0.6653125000000001,16.747395833333332,0.1601041666666666,0.0,0.0,0.0,0.2647916666666666,0.1066666666666666,32.4365625,44.140625,0.5013541666666667,167.66385416666665,0.00125,0.00125,124.3165625,742.1628125000001,0.0,122.0
2023-05-08,33.242916666666666,101.06135416666666,2.4270833333333335,27.081041666666664,29.557916666666667,22.914270833333333,19.522708333333338,0.5894791666666667,15.051354166666668,0.1414583333333333,0.0,0.0,0.0,0.234375,0.0942708333333333,31.8365625,41.6425,0.5867708333333334,135.76802083333334,0.0054166666666666,0.0054166666666666,115.22781249999998,742.2071875,0.0,109.0
2023-05-09,34.07604166666667,102.27895833333334,1.444583333333333,25.010520833333334,26.090208333333333,22.4978125,19.86104166666667,0.5791666666666667,18.573020833333334,0.1386458333333333,0.0,0.0,0.0,0.2309375,0.0928125,32.59125,39.16375,0.7034375,189.35385416666668,0.0020833333333333,0.0020833333333333,130.18281249999998,742.2638541666666,0.0,100.0
2023-05-10,45.98760416666667,113.9790625,1.3401041666666669,26.860520833333336,27.772499999999997,27.273645833333333,24.018125,0.6498958333333333,22.15697916666667,0.1564583333333333,0.0,0.0,0.0,0.2608333333333333,0.1046874999999999,31.444166666666664,35.0371875,0.6490625,195.68197916666668,0.00125,0.00125,129.09260416666666,742.5163541666667,0.0,104.0
