Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NH3 (µg/m³),Benzene (µg/m³),AT (°C),RH (%),AQI
2022-06-13,80.21,183.32,7.09,0.13,38.46,33.86,143.0
2022-10-15,47.67,100.92,16.98,0.15,26.1,78.57,93.0
2022-10-19,48.68,123.13,21.48,0.17,26.29,72.49,117.0
2022-12-11,77.3,192.56,43.57,0.32,18.68,79.99,213.0
2022-05-06,37.5,86.45,12.25,0.1,33.41,43.5,97.0
2022-05-27,63.15,174.27,18.51,0.09,34.77,42.44,148.0
2022-11-08,74.84,162.08,30.02,0.18,24.75,71.95,170.0
2022-03-28,60.87,167.76,19.34,0.05,30.38,32.45,160.0
2022-11-04,109.27,238.07,37.66,0.38,23.94,79.67,358.0
2022-07-05,38.27,65.85,4.61,0.06,34.54,64.1,69.0
2022-12-30,105.13,216.75,41.46,0.32,15.42,80.61,223.0
2022-06-25,47.8,79.43,10.31,0.08,35.21,54.95,101.0
2022-10-05,7.6,16.82,28.87,0.1,25.25,93.3,27.0
2022-06-27,46.97,72.85,9.18,0.06,35.75,55.22,80.0
2022-11-02,99.75,209.84,26.62,0.24,24.4,67.72,208.0
2022-08-07,20.96,36.82,41.86,0.09,27.92,89.49,66.0
2022-09-16,7.63,21.84,20.45,0.09,26.82,90.68,27.0
2022-05-10,36.09,65.3,15.6,0.09,34.64,49.75,90.0
2022-02-08,58.98,124.41,19.48,0.13,17.82,70.7,157.0
2022-01-12,47.93,111.25,21.52,0.26,15.41,76.61,122.0
2022-08-28,31.53,84.78,10.39,0.09,30.41,78.58,68.0
2022-07-14,18.08,69.77,24.52,0.06,34.69,57.73,62.0
2022-04-23,50.42,138.21,14.66,0.0,34.32,29.55,124.0
2022-06-29,26.42,37.67,10.56,0.06,30.15,78.21,55.0
2022-08-27,23.22,54.62,13.62,0.08,31.37,77.21,48.0
2022-08-16,4.21,17.12,31.3,0.06,29.62,77.02,21.0
2022-04-28,68.33,144.76,15.61,0.2,35.15,29.08,135.0
2022-12-03,89.63,205.39,35.06,0.37,17.93,79.26,206.0
2022-12-18,100.04,220.43,42.08,0.37,15.63,80.63,225.0
2022-12-08,52.05,167.84,34.44,0.21,17.07,71.86,131.0
2022-12-21,67.9,195.68,47.72,0.33,15.63,76.64,179.0
2022-06-14,64.08,154.67,5.32,0.09,38.48,36.07,114.0
2022-08-08,15.52,33.42,34.17,0.09,30.82,79.29,24.0
2022-09-08,39.85,62.23,16.46,0.1,31.78,76.53,67.0
2022-06-04,79.41,231.05,6.39,0.16,37.08,28.82,185.0
2022-07-17,18.79,41.61,16.23,0.06,34.82,58.92,41.0
2022-12-06,66.58,197.43,34.33,0.25,16.93,76.85,215.0
2022-01-03,102.05,219.46,26.49,2.45,13.77,79.39,214.0
2022-04-26,63.52,184.33,14.48,0.19,34.54,28.0,155.0
2022-09-02,11.23,35.78,6.86,0.08,29.88,78.55,30.0
2022-09-07,39.43,78.43,21.92,0.13,31.2,76.4,74.0
2022-10-16,42.88,90.85,17.08,0.15,26.15,75.0,87.0
2022-05-01,48.32,149.12,17.36,0.09,32.83,48.79,110.0
2022-10-09,13.26,26.65,16.87,0.11,27.07,88.61,36.0
2022-07-30,13.31,32.72,9.47,0.09,27.84,89.54,29.0
2022-11-11,102.78,230.86,31.41,0.23,22.48,70.42,241.0
2022-05-08,42.49,74.66,15.63,0.09,33.78,49.96,120.0
2022-03-16,69.05,176.83,14.95,0.04,28.71,58.42,154.0
2022-10-23,134.8,226.6,17.6,0.29,25.52,75.75,266.0
2022-01-30,47.01,139.21,29.22,0.17,15.89,67.18,129.0
2022-03-25,53.93,147.02,19.8,0.1,30.4,36.28,127.0
2022-10-30,135.86,231.01,25.34,0.3,24.19,79.41,306.0
2022-04-18,42.35,134.61,16.33,0.0,34.86,26.69,130.0
2022-10-17,40.13,87.15,17.28,0.12,26.27,74.05,91.0
2022-08-12,10.4,23.55,20.28,0.07,29.01,81.0,26.0
2022-05-14,54.77,152.7,12.72,0.21,37.08,40.61,149.0
2022-07-04,28.38,50.96,4.96,0.06,34.22,65.47,54.0
2022-09-24,15.58,38.93,35.4,0.15,27.09,86.77,39.0
2022-02-14,112.65,208.39,14.51,0.33,16.87,69.68,225.0
2022-12-02,94.39,218.23,35.67,0.31,17.82,77.96,229.0
2022-03-07,61.06,135.14,16.54,0.11,22.81,58.89,171.0
2022-09-30,55.64,109.92,28.57,0.21,29.68,76.48,93.0
2022-03-27,45.85,133.76,19.59,0.07,29.85,32.05,113.0
2022-07-06,32.88,65.49,4.42,0.06,35.23,60.42,78.0
2022-03-12,50.28,139.54,16.58,0.05,24.14,53.8,117.0
2022-06-09,73.23,212.66,5.77,0.13,37.46,29.96,204.0
2022-01-13,59.83,128.21,22.67,0.44,13.91,77.13,124.0
2022-02-05,37.74,90.97,25.16,0.09,13.87,81.07,97.0
2022-01-29,56.79,151.54,29.17,0.21,13.99,69.61,156.0
2022-06-20,22.64,52.82,5.44,0.04,32.37,56.29,61.0
2022-05-23,21.84,61.21,16.64,0.06,29.36,58.18,79.0
2022-08-29,20.95,43.53,13.26,0.1,28.72,85.3,62.0
2022-05-31,86.18,225.48,10.85,0.12,36.72,41.73,189.0
2022-08-17,7.96,26.92,25.01,0.07,31.48,72.03,29.0
2022-08-10,10.26,34.13,41.36,0.07,30.91,72.86,32.0
2022-05-12,35.24,76.24,12.18,0.09,35.29,49.27,83.0
2022-11-14,124.98,287.93,32.37,0.39,20.66,73.62,315.0
2022-02-21,61.38,135.3,20.84,0.14,19.23,59.03,109.0
2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0,132.0
2022-04-06,46.03,126.69,15.75,0.0,32.06,26.64,105.0
2022-10-18,56.31,122.9,21.95,0.14,26.42,73.76,98.0
2022-06-28,47.8,79.91,9.64,0.06,34.84,59.73,96.0
2022-07-24,19.66,36.55,17.13,0.07,31.14,73.91,36.0
2022-05-04,37.21,90.12,17.35,0.09,32.52,55.24,83.0
2022-02-11,54.76,123.91,17.56,0.06,16.63,63.34,140.0
2022-03-31,62.6,139.2,20.27,0.05,32.54,42.35,139.0
2022-10-12,23.13,51.22,12.45,0.16,26.56,86.18,34.0
2022-07-26,19.85,30.7,9.46,0.07,28.27,85.44,37.0
2022-05-17,59.16,186.68,14.0,0.17,35.88,37.14,201.0
2022-01-27,77.61,192.83,24.64,0.24,11.79,83.81,222.0
2022-12-24,35.12,111.01,38.67,0.17,18.85,66.34,115.0
2022-05-22,28.13,77.05,16.57,0.06,32.48,49.38,100.0
2022-09-04,17.34,45.74,6.45,0.08,32.0,71.67,52.0
2022-10-31,128.24,207.49,30.47,0.28,24.23,74.45,308.0
2022-01-05,91.56,198.31,24.98,1.71,14.97,84.47,236.0
2022-09-14,8.18,15.86,19.2,0.08,25.74,94.72,28.0
2022-11-23,76.58,220.81,29.68,0.28,18.82,65.36,167.0
2022-04-11,57.52,158.6,17.19,0.0,33.77,32.39,130.0
2022-08-15,6.17,22.13,40.77,0.07,28.6,81.35,25.0
2022-11-09,103.66,200.09,30.16,0.2,24.45,75.89,237.0
2022-08-02,14.49,40.49,20.68,0.08,31.68,73.46,39.0
2022-06-21,26.25,57.41,5.89,0.05,31.02,65.04,64.0
2022-04-09,65.0,167.05,16.05,0.0,33.39,27.96,135.0
2022-08-04,26.31,43.87,19.7,0.11,28.88,88.1,38.0
2022-03-03,77.49,183.83,19.73,0.24,21.77,58.97,158.0
2022-02-17,37.79,116.55,17.62,0.07,19.5,58.77,138.0
2022-02-02,85.07,198.82,27.55,0.28,15.05,80.22,189.0
2022-09-25,21.24,49.27,26.65,0.17,27.55,88.93,53.0
2022-07-20,31.43,45.54,21.2,0.07,31.68,73.95,63.0
2022-11-21,74.27,216.31,35.84,0.25,19.74,71.92,155.0
2022-01-28,60.39,140.68,27.33,8.83,13.69,68.87,167.0
2022-10-14,65.91,119.56,16.7,0.17,26.51,78.27,111.0
2022-08-19,15.43,50.76,21.95,0.08,31.47,74.39,44.0
2022-09-18,18.0,45.85,23.44,0.1,29.64,78.18,75.0
2022-06-12,68.55,181.12,6.56,0.12,38.05,31.48,151.0
2022-11-07,95.7,189.12,30.86,0.19,24.31,74.02,219.0
2022-05-19,44.09,145.85,14.27,0.13,39.93,27.49,139.0
2022-03-04,52.91,136.09,20.82,0.15,24.12,53.63,161.0
2022-05-16,56.76,161.77,14.07,0.16,36.47,43.94,144.0
2022-05-09,37.39,64.79,15.6,0.09,33.44,51.22,91.0
2022-01-09,39.26,65.96,26.01,0.22,15.94,93.8,78.0
