PM2.5 (µg/m³),PM10 (µg/m³),NH3 (µg/m³),Benzene (µg/m³),AT (°C),RH (%),AQI
0.6455873907217152,0.49130657120940935,0.49328384588193713,0.0010615711252653928,0.35762584522915103,0.8378181818181818,0.44807121661721067
0.5158573160615149,0.4394783942725645,0.48709791445740547,0.5169851380042463,0.33633859253693965,0.8209870129870129,0.5667655786350149
0.6512028587837406,0.5611352595244182,0.468186638388123,0.2600849256900213,0.3448534936138242,0.8248311688311688,0.5727002967359051
0.5439346563716418,0.49128100230120164,0.4425592082007777,0.1804670912951168,0.3686451289757075,0.8339740259740259,0.5727002967359051
0.5842639269989152,0.507057018665303,0.44149876281371514,0.18152866242038218,0.37490608564988737,0.8776103896103896,0.6379821958456973
0.3733648139876204,0.3285860393761186,0.4627076705549665,0.07006369426751594,0.35236664162284,0.9655064935064935,0.38872403560830865
0.41209878118818194,0.29184351828176935,0.45952633439377877,0.054140127388535034,0.4032056098171801,0.962077922077922,0.34124629080118696
0.18288558483823622,0.1299923293275377,0.4604100388829976,0.535031847133758,0.4242424242424243,0.9415064935064935,0.2017804154302671
0.25052645013081487,0.1686525185374584,0.4597030752916226,0.023354564755838643,0.399198597545705,0.9745454545454545,0.16913946587537093
0.2648203688341522,0.19383789312196367,0.4581124072110287,0.032908704883227176,0.41697971450037563,0.9315324675324675,0.1572700296735905
0.3539659243188054,0.31411403733060594,0.4248851184164016,0.044585987261146494,0.39193588780365646,0.8983896103896104,0.24035608308605344
0.3058515729691787,0.2844541038097673,0.3803464121597738,0.027600849256900213,0.3859253693964438,0.795948051948052,0.2997032640949555
0.3817880160806585,0.32781897212989003,0.40067161541180635,0.046709129511677286,0.34835962935136494,0.8013506493506493,0.3056379821958457
0.31778444260098265,0.2558680644336486,0.45281018027571585,0.04140127388535032,0.3283245679939895,0.8165194805194805,0.427299703264095
0.4373045753302278,0.3434671439529532,0.4515729939908095,0.02866242038216561,0.2744803405960431,0.8636883116883116,0.31157270029673595
0.48548273881692294,0.4083354640756839,0.4483916578296218,0.037154989384288746,0.24993739043325822,0.8873766233766234,0.41839762611275966
0.4681896496713675,0.36755305548453077,0.4432661717921527,0.027600849256900213,0.24142248935637367,0.852987012987013,0.427299703264095
0.531874162465701,0.45763231909997437,0.40968540120183816,0.04564755838641189,0.22289005760080144,0.92187012987013,0.45103857566765587
0.5455299597983536,0.4301968805931986,0.3623188405797102,0.029723991507431,0.25194089656899576,0.8458181818181818,0.4421364985163205
